"Date";"Vol_1stday";"dates_last";"Vol_Lastday";"Vol_Aulne_m3_Mois";"Vol_Loquefret_m3_Mois";"Vol_Prelevable_Aulne_m3_Mois_DR";"Vol_Prelevable_Aulne_m3_Mois_DOE";"Vol_Prelevable_Aulne_m3_Mois_PMIN_JOUR";"Recharge_m3_Mois";"Monthly_val_mean.Debit_reserve";"DOE";"Facteur correction";"Volume_Disponible_DR";"Volume_Soutien_DR";"Volume_Disponible_DOE";"Volume_Soutien_DOE";"Vol_Prelevable_Aulne_m3_Mois_MIN_DR_DOE";"Volume_Disponible_MIN_DR_DOE";"Volume_Soutien_MIN_DR_DOE";"Volume_Disponible_PMIN_Jour";"Volume_Soutien_PMIN_Jour"
"2015-01-01";5280000;2015-01-31;4588000;158163840;8331552;146040364.8;148343788.8;146040364.8;7639552;2.66;1.8;1;146040364.8;0;148343788.8;0;146040364.8;146040364.8;0;146040364.8;0
"2015-02-01";4748000;2015-02-28;5984000;138965760;3624480;130356000;132436512;130356000;5020480;2.66;1.8;1;130356000;0;132436512;0;130356000;130356000;0;130356000;0
"2015-03-01";6120000;2015-03-31;7400000;77751360;1508544;69721689.6;72025113.6;69721689.6;2924544;2.66;1.8;1;69721689.6;0;72025113.6;0;69721689.6;69721689.6;0;69721689.6;0
"2015-04-01";7480000;2015-04-30;8356000;35861184;320544;28774137.6;31003257.6;28774137.6;1276544;2.66;1.8;1;28774137.6;0;31003257.6;0;28774137.6;28774137.6;0;28774137.6;0
"2015-05-01";8470000;2015-05-31;8900000;46813248;1305504;38905401.6;41208825.6;38905401.6;1849504;2.66;1.8;1;38905401.6;0;41208825.6;0;38905401.6;38905401.6;0;38905401.6;0
"2015-06-01";9015000;2015-06-30;8708000;15789600;480384;8606649.6;10835769.6;8606649.6;288384;2.66;1.8;1;8606649.6;0;10835769.6;0;8606649.6;8606649.6;0;8606649.6;0
"2015-07-01";8660000;2015-07-31;8208000;7070976;740448;408499.2;1805587.2;395539.2;240448;2.32161290322581;1.8;1;408499.2;0;1805587.2;0;408499.2;408499.2;0;395539.2;0
"2015-08-01";8172000;2015-08-31;7520000;11384928;1594080;4354560;5607360;4121280;906080;2.26774193548387;1.8;1;4354560;0;5607360;0;4354560;4354560;0;4121280;0
"2015-09-01";7560000;2015-09-30;7760000;8376480;546912;1822348.8;3382732.8;1778284.8;786912;2.402;1.8;1;1822348.8;0;3382732.8;0;1822348.8;1822348.8;0;1778284.8;0
"2015-10-01";7720000;2015-10-31;7360000;11567232;1448928;4435603.2;5876755.2;4264531.2;1048928;2.33806451612903;1.8;1;4435603.2;0;5876755.2;0;4435603.2;4435603.2;0;4264531.2;0
"2015-11-01";7440000;2015-11-30;6348000;44790624;6736608;33853939.2;36083059.2;33853939.2;5724608;2.66;1.8;1;33853939.2;0;36083059.2;0;33853939.2;33853939.2;0;33853939.2;0
"2015-12-01";6158000;2015-12-31;4434000;77768640;7274880;66279168;68582592;66279168;5360880;2.66;1.8;1;66279168;0;68582592;0;66279168;66279168;0;66279168;0
