"Date";"Vol_Steir_m3_Mois";"Vol_Prelevable_Steir_m3_Mois_DOE";"DOE";"Volume_Disponible_DOE";"Volume_Soutien_DOE"
"2011-01-01";14817600;13799808;0.38;13799808;0
"2011-02-01";16314048;15394752;0.38;15394752;0
"2011-03-01";10614240;9596448;0.38;9596448;0
"2011-04-01";4269888;3284928;0.38;3284928;0
"2011-05-01";2717971.2;1700179.2;0.38;1700179.2;0
"2011-06-01";1809648;824688;0.38;824688;0
"2011-07-01";1411516.8;393724.8;0.38;393724.8;0
"2011-08-01";1340582.4;322790.4;0.38;322790.4;0
"2011-09-01";913161.6;-71798.4;0.38;0;-71798.4
"2011-10-01";1339027.2;321235.2;0.38;321235.2;0
"2011-11-01";1657670.4;672710.4;0.38;672710.4;0
"2011-12-01";19350144;18332352;0.38;18332352;0
