"ID_COMCOM","Nom_COMCOM","ID","nom_ID","Type","X","Y"
"1","CCPCAM","29000279","Poraon","OUV",150667.64,6819271.53
"1","CCPCAM","29000285","KERNERON / ARGOL","OUV",157553,6818380
"1","CCPCAM","29000274","POULDU","OUV",175581,6818065
"1","CCPCAM","29000275","GOASTALLAN","OUV",172695,6823175
"1","CCPCAM","29000194","PEN AR VERN (Sud)","OUV",169829,6822468
"2","DZCO","29000241","LESAFF CAP","OUV",150141,6799872
"2","DZCO","29000242","LESAFF FOR","OUV",150291,6799881
"2","DZCO","29000189","Keratry","OUV",159359.679999999,6800455.78
"2","DZCO","29000190","KERGAOULEDAN","OUV",152828,6797283
"2","DZCO","29001476","BOTCARN","OUV",153137,6797728
"2","DZCO","29000191","KERYANNES","OUV",152974,6798041
"2","DZCO","29000249","KERSTRAT","OUV",155999,6795149
"2","DZCO","29002187","KERSTRAT SUD60","OUV",155372,6795543
"3","CCHPB","29000267","SAINT RENAN","OUV",150930,6791072
"3","CCHPB","29002204","FORAGE KERLOSQUET","OUV",151061,6791271
"3","CCHPB","29000215","KERGAMET","OUV",152839,6791127
"3","CCHPB","29001501","KERGAMET FORAGE 1","OUV",152839,6791107
"3","CCHPB","29001502","KERGAMET FORAGE 2","OUV",152839,6791107
"3","CCHPB","29000250","SAINT AVE","OUV",157755,6791093
"3","CCHPB","29001503","SAINT AVE FOR","OUV",157564,6790979
"4","CCPF","29000157","CHEFFONTAINES","OUV",174065,6778765
"4","CCPF","290001571","Forage Cheffontaines","OUV",174085,6778785
"4","CCPF","29002055","Keraven","OUV",171606.7,6777182.01999999
"4","CCPF","290020551","Forage Keraven","OUV",173076,6777071
"4","CCPF","290020552","Guénodou","OUV",173056,6777051
"4","CCPF","290021101","Forage Roud Gwen","OUV",172550.644,6780779.406
"4","CCPF","29002110","ROUD GUEN PUITS PRINCIPAL","OUV",172530.644,6780759.406
"4","CCPF","29000198","Creach Queta","OUV",174220.39,6782919.41999999
"4","CCPF","290013191","Forage Bois de mur","OUV",178668,6784614
"4","CCPF","290013192","Forage Lanveron","OUV",178658,6784634
"4","CCPF","29001319","TROUARN SECONDAIRE","OUV",178678,6784594
"4","CCPF","290001971","Forage Kervrancel-Rosnabat","OUV",176912.64,6779054.29
"4","CCPF","29000197","Penalen","OUV",176892.64,6779024.29
"4","CCPF","29002043","KERASPLOC'H","OUV",175208,6776748
"4","CCPF","29002240","BREHOULOU","OUV",176455,6777430
"4","CCPF","2900224","BREHOULOU 2","OUV",176465,6777440
"5","CCPCP","29000232","RUNIGOU VIHAN","OUV",178416,6807880
"5","CCPCP","29000202","TOULHARN","OUV",181943,6807902
"5","CCPCP","29000203","MOULIN NEUF","OUV",179041,6807356
"5","CCPCP","29000252","MADELEINE","OUV",186356,6820774
"5","CCPCP","29000180","GARS AR GARO-FORAGE","OUV",189584,6817316
"5","CCPCP","29000187","KERGAOC","OUV",164192,6814598
