"ID_lien","ID_depart_txt","ID_depart","Type_depart","Nom_depart","ID_URD_depart","ID_CC_depart","X_depart","Y_depart","ID_arrivee_txt","ID_arrivee","Type_arrivee","Nom_arrivee","ID_URD_arrivee","ID_CC_arrivee","X_arrivee","Y_arrivee","Long_km","Diam_mm","K_max","distance","Diametre"
"201_202","201","201","URD","Douarnenez","201","2",155089.182485056,6800831.8788118,"202","202","URD","Kerlaz","202","2",159985.935129193,6801640.38951425,NA,NA,NA,23.648011533099,400
"201_204","201","201","URD","Douarnenez","201","2",155089.182485056,6800831.8788118,"204","204","URD","Poullan-sur-mer 
","204","2",149894.812931315,6800975.80760374,NA,NA,NA,23.648011533099,400
"201_R2031","201","201","URD","Douarnenez","201","2",155089.182485056,6800831.8788118,"R2031","R2031","RES","Réservoir du Moulin (Le Juch)","203","2",160775,6795343,NA,NA,NA,19.4836162184944,400
"204_801","204","204","URD","Poullan-sur-mer 
","204","2",149894.812931315,6800975.80760374,"801","801","URD","Nord-Cap-Sizun","801","8",137227.804240015,6800727.05661406,NA,NA,NA,26.1791733416345,100
"204_803","204","204","URD","Poullan-sur-mer 
","204","2",149894.812931315,6800975.80760374,"803","803","URD","Confort-Meilars","803","8",146925.146190953,6798906.77785899,NA,NA,NA,31.6858106293351,100
"29000151_T7001","29000151","29000151","OUV","Coatigrac'h","700","7",176067.769999999,6812901.24,"T7001","T7001","TTP","0","700","7",174849.1038,6811515.348,NA,NA,NA,12.6347543856768,1200
"29000152_T7002","29000152","29000152","OUV","Prat-Hir","700","7",176497.899999999,6810584.80999999,"T7002","T7002","TTP","0","700","7",175893.3367,6810433.6735,NA,NA,NA,10.7226155961063,1200
"290001571_T4022","290001571","290001571","OUV","Forage Cheffontaines","402","4",174085,6778785,"T4022","T4022","TTP","Benodet","402","4",174074.6679,6778772.8979,NA,NA,NA,42.0829249149161,100
"29000157_T4022","29000157","29000157","OUV","CHEFFONTAINES","402","4",174065,6778765,"T4022","T4022","TTP","Benodet","402","4",174074.6679,6778772.8979,NA,NA,NA,42.0632609727873,100
"29000171_T6061","29000171","29000171","OUV","NENEZ","606","6",184751,6802913,"T6061","T6061","TTP","Plomelin","606","6",167741.7492,6785579.6328,NA,NA,NA,21.2343246996788,100
"29000172_T6101","29000172","29000172","OUV","GOULITQUER","610","6",182569,6801152,"T6101","T6101","TTP","Edern","610","6",182684.9478,6801277.9313,NA,NA,NA,27.4816820487713,200
"29000174_T5111","29000174","29000174","OUV","GRANNEC","511","5",171980,6808517,"T5111","T5111","TTP",NA,"511","5",171006.9234,6808787.2586,NA,NA,NA,18.5569610658766,100
"29000180_T5131","29000180","29000180","OUV","GARS AR GARO-FORAGE","513","5",189584,6817316,"T5131","T5131","TTP",NA,"513","5",189574,6817306,NA,NA,NA,38.2311219654427,100
"29000187_T5031","29000187","29000187","OUV","KERGAOC","503","5",164192,6814598,"T5031","T5031","TTP","Dineault","503","5",164188.0255,6814596.0297,NA,NA,NA,13.6231659755676,100
"29000188_T5032","29000188","29000188","OUV","LEZAFF","503","5",166032,6813565,"T5032","T5032","TTP","Dineault","503","5",167278.378,6814113.1074,NA,NA,NA,13.3697881680628,100
"29000189_T2012","29000189","29000189","OUV","Keratry","201","2",159359.679999999,6800455.78,"T2012","T2012","TTP","Douarnenez","201","2",157288.1956,6801273.622,NA,NA,NA,4.57275176636504,300
"29000190_T2011","29000190","29000190","OUV","KERGAOULEDAN","201","2",152828,6797283,"T2011","T2011","TTP","Douarnenez","201","2",154331.8337,6800262.2294,NA,NA,NA,4.71597438268506,400
"29000191_T2011","29000191","29000191","OUV","KERYANNES","201","2",152974,6798041,"T2011","T2011","TTP","Douarnenez","201","2",154331.8337,6800262.2294,NA,NA,NA,4.25376170876176,100
