"ID_COMCOM";"Nom_COMCOM";"ID_URD";"Nom_URD";"VCA2018";"VCA2019";"Rendement_initial";"Objectif_rendement";"Rendement";"Objectif_rendement_gestion";"X";"Y";"Janvier";"Février";"Mars";"Avril";"Mai";"Juin";"Juillet";"Août";"Septembre";"Octobre";"Novembre";"Décembre";"Tourisme";"Calcul";"...19";"...20";"...21";"...22";"...23";"...24";"...25";"...26";"...27";"...28";"...29";"...30";"...31"
"1";"CCPCAM";"101";"Crozon-Ouest";NA;853845;73;82;82;"82";"143432.69813809899";"6821407.4668262098";7,72294494851278;7,23027336913819;7,85178050181724;7,89739824064822;8,18465175971119;8,29645669051875;10,7255874597112;11,5371408570716;8,01279729633339;7,48777859306046;7,147884968098;7,47948445872756;"Oui";"MAD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";"CCPCAM";"102";"Crozon-Est";NA;432718;73;82;82;"82";"155343.44490321301";"6820313.8358893702";7,72294494851278;7,23027336913819;7,85178050181724;7,89739824064822;8,18465175971119;8,29645669051875;10,7255874597112;11,5371408570716;8,01279729633339;7,48777859306046;7,147884968098;7,47948445872756;"Oui";"MAD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";"CCPCAM";"103";"Rosnoën";NA;92195;73;82;82;"82";"166624.746579889";"6821111.8061378496";8,00653574978081;7,18139121190507;8,18311386930409;6,34713245976353;8,56077854236473;9,98512809555895;9,43144587667422;9,87222806813426;8,21058223799897;8,19486531498413;7,95556988225672;8,07122869127451;"Non";"SMA";NA;8,00653574978081;7,18139121190507;8,18311386930409;6,34713245976353;8,56077854236473;9,98512809555895;9,43144587667422;9,87222806813426;8,21058223799897;8,19486531498413;7,95556988225672;8,07122869127451
"1";"CCPCAM";"104";"Le Faou";NA;96457;78,6;82;82;"82";"171101.234929611";"6824518.92254778";8,00653574978081;7,18139121190507;8,18311386930409;6,34713245976353;8,56077854236473;9,98512809555895;9,43144587667422;9,87222806813426;8,21058223799897;8,19486531498413;7,95556988225672;8,07122869127451;"Non";NA;NA;8,75216721714789;7,82910221516229;7,9772962815881;8,87420938949856;8,43059577889058;7,23342018345069;8,93619906434335;8,39960094146819;7,81554197378999;7,65378766599188;7,00677043479945;6,6493612157725
"1";"CCPCAM";"105";"Goastallan";NA;120442,85;81,7;82;82;"82";"173373.89355370399";"6820842.2496876204";8,00653574978081;7,18139121190507;8,18311386930409;6,34713245976353;8,56077854236473;9,98512809555895;9,43144587667422;9,87222806813426;8,21058223799897;8,19486531498413;7,95556988225672;8,07122869127451;"Non";NA;NA;8,37935148346435;7,50524671353368;8,0802050754461;7,61067092463104;8,49568716062766;8,60927413950482;9,18382247050878;9,13591450480122;8,01306210589448;7,924326490488;7,48117015852809;7,36029495352351
"1";"CCPCAM";"106";"Pouldu";NA;98544,15;81,7;82;82;"82";"173373.89355370399";"6820842.2496876204";8,00653574978081;7,18139121190507;8,18311386930409;6,34713245976353;8,56077854236473;9,98512809555895;9,43144587667422;9,87222806813426;8,21058223799897;8,19486531498413;7,95556988225672;8,07122869127451;"Non";NA;NA;8,37935148346435;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"DZCO";"201";"Douarnenez";NA;1002483;91,5;NA;91,5;"91.5";"155089.18248505599";"6800831.8788117999";7,51764403160306;7,20601905261069;7,80182854169574;7,89848735602062;8,3654500759123;8,68562052964852;10,4303216231844;10,2506767541249;8,70052763559057;8,31987421061177;7,60708666725535;7,21646352174206;"Oui";"MAD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"DZCO";"202";"Kerlaz";NA;47688;97;NA;97;"97";"159985.93512919301";"6801640.3895142497";8,00653574978081;7,18139121190507;8,18311386930409;6,34713245976353;8,56077854236473;9,98512809555895;9,43144587667422;9,87222806813426;8,21058223799897;8,19486531498413;7,95556988225672;8,07122869127451;"Oui";"SMA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"DZCO";"203";"Le Juch-Pouldergat";69975;78821;66,4;NA;66,4;"75";"156525.422862226";"6796867.3199969102";8,75216721714789;7,82910221516229;7,9772962815881;8,87420938949856;8,43059577889058;7,23342018345069;8,93619906434335;8,39960094146819;7,81554197378999;7,65378766599188;7,00677043479945;6,6493612157725;"Non";"MAD";0,0833333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"DZCO";"204";"Poullan-sur-mer";NA;99631;82,68;NA;82,68;"82.68";"149894.81293131501";"6800975.8076037401";8,70551402466296;7,15832854130726;7,31422912273976;7,83687943262411;7,45894831001214;7,84326880071561;10,1530253657913;10,7127340106064;8,71254232956361;7,0311801162865;7,74678934253402;7,03022171107277;"Oui";"MAD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"CCHPB";"301";"Saint-Avé";NA;169214,654583847;88,9;90,8;90,8;"90.8";"157944.50667068499";"6788868.77541003";8,379351;7,505247;8,080205;7,610671;8,495687;8,609274;9,183822;9,135915;8,013062;7,924326;7,48117;7,360295;"Non";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"CCHPB";"302";"Kergamet";NA;90479,3454161534;88,9;90,8;90,8;"90.8";"153423.641546428";"6792363.69870428";8,379351;7,505247;8,080205;7,610671;8,495687;8,609274;9,183822;9,135915;8,013062;7,924326;7,48117;7,360295;"Non";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"CCHPB";"303";"Saint-Ronan";307135;325235;86,8;88,6;88,6;"88.6";"150106.44481323301";"6787470.57970721";8,03;6,22;7,22;8,47;6,5;7,75;12,07;11,07;10,78;6,65;6,78;8,46;"Oui";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"CCHPB";"304";"Plonéour-Lanvern";NA;270405;93;93,2;93,2;"93.2";"158000.18504546501";"6781414.2033978403";8,06;6,74;8;8,67;7,4;8,86;8,73;9,63;9,84;7,37;7,34;9,35;"Non";NA;NA;8,379351;7,505247;8,080205;7,610671;8,495687;8,609274;9,183822;9,135915;8,013062;7,924326;7,48117;7,360295
"4";"CCPF";"401";"Fouesnant";NA;701099;82,1;NA;82,1;"90";"176143.172087824";"6775762.5731809";7,14800049635858;6,02612523965905;7,17072113561251;9,49207137077112;7,78749910428249;8,56804044972884;12,9633481134005;12,2508812986418;8,3863627227715;7,08333406155895;4,6873552651586;8,43626074205608;"Oui";"MAD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"CCPF";"402";"Benodet";302487;316888;92,26;NA;92,26;"86.82";"171630.58500112299";"6780426.2525643902";7,14800049635858;6,02612523965905;7,17072113561251;9,49207137077112;7,78749910428249;8,56804044972884;12,9633481134005;12,2508812986418;8,3863627227715;7,08333406155895;4,6873552651586;8,43626074205608;"Oui";"MAD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"CCPF";"403";"Lanveron";381117;390747;86,82;NA;86,82;"80";"180221.26127413";"6780744.0639109602";8,354646;7,212422;7,560386;8,250756;9,164104;7,648398;10,82998;9,186107;7,465683;7,19507;8,983998;6,996816;"Non";"MAD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
