"Defaillance","URD_arrivee","Cost"
9999,"202",10000
9999,"204",10000
9999,"801",10000
9999,"803",10000
9999,"804",10000
9999,"304",10000
9999,"303",10000
9999,"HP1",10000
9999,"405",10000
9999,"403",10000
9999,"601",10000
9999,"513",10000
9999,"514",10000
9999,"512",10000
9999,"511",10000
9999,"603",10000
9999,"607",10000
9999,"606",10000
9999,"101",10000
9999,"102",10000
9999,"201",10000
9999,"203",10000
9999,"301",10000
9999,"604",10000
9999,"802",10000
9999,"302",10000
9999,"401",10000
9999,"402",10000
9999,"404",10000
9999,"515",10000
9999,"516",10000
9999,"103",10000
9999,"104",10000
9999,"105",10000
9999,"502",10000
9999,"503",10000
9999,"504",10000
9999,"507",10000
9999,"508",10000
9999,"509",10000
9999,"505",10000
9999,"510",10000
9999,"506",10000
9999,"602",10000
9999,"608",10000
9999,"609",10000
9999,"610",10000
9999,"611",10000
9999,"612",10000
9999,"613",10000
9999,"614",10000
9999,"106",10000
9999,"501",10000
9999,"517",10000
9999,"605",10000
